,CommonName,eBird,ScientificName,ExtraName
0,Spotless Crake,spocra2,Zapornia tabuensis,Crake
1,Eastern Rosella,easros1,Platycercus eximius,Rosella
2,Spotted Crake,spocra1,Porzana porzana ,Crake
3,Domesz3tic Chicken,redjun1,Gallus gallus,Chicken
4,Takahe,takahe3,Porphyrio hochstetteri,Takahe
5,Common Diving-Petrel,codpet1,Pelecanoides urinatrix,Petrel
6,Chukor,chukar,Alectoris chukar,Chukor
7,Caspian Tern,caster1,Hydroprogne caspia,Tern
8,Black Petrel,parpet1,Procellaria parkinsoni,Petrel
9,Chatham Robin,charob1,Petroica traversi,Robin
10,Okarito Brown Kiwi ,okbkiw1,Apteryx rowi,Brown Kiwi
11,Mottled Petrel,motpet,Pterodroma inexpectata,Petrel
12,Grey Teal,gretea1,Anas gracilis,Teal
13,Blue Whio,bluduc1,Hymenolaimus malacorhynchos,Whio
14,North Island Saddleback,saddle2,Philesturnus rufusater,Saddleback
15,Black-billed Gull,blbgul1,Chroicocephalus bulleri,Gull
16,North Island Kokako,kokako3,Callaeas wilsoni,Kokako
17,Banded Dotterel,dobplo1,Charadrius bicinctus,Dotterel
18,Common Pheasant,rinphe1,Phasianus colchicus,Pheasant
19,Chatham Island Warbler,chiger2,Gerygone albofrontata ,Warbler
20,Australasian Shoveler,aussho1,Spatula rhynchotis,Shoveler
21,Welcome Swallow,welswa1,Hirundo neoxena,Swallow
22,Little Owl,litowl1,Athene noctua,Owl
23,White-fronted Tern,whfter1,Sterna striata,Tern
24,Gull,larus,Larinae sp.,Gull
25,Peafowl,compea,Pavo cristatus,Peafowl
26,Little Blue Penguin,litpen1,Eudyptula minor,Penguin
27,Mallard Duck,mallar3,Anas platyrhynchos,Duck
28,Marsh Crake,baicra4,Zapornia pusilla,Crake
29,House Sparrow,houspa,Passer domesticus,Sparrow
30,Black Swan,blkswa,Cygnus atratus,Swan
31,Cook's Petrel,coopet,Pterodroma cookii,Petrel
32,Australasian Harrier,swahar1,Circus approximans,Harrier
33,California Quail,calqua,Callipepla californica,Quail
34,Black-fronted Tern,blfter1,Chlidonias albostriatus,Tern
35,Pied Stilt,piesti1,Himantopus leucocephalus,Stilt
36,New Zealand Fernbird,fernbi1,Poodytes punctatus,Fernbird
37,Australasian Bittern,ausbit1,Botaurus poiciloptilus,Bittern
38,Grey or Mallard Duck,x00458,Anas platyrhynchos x superciliosa,Duck
39,Rock Wren,soiwre1,Xenicus gilviventris,Wren
40,Mohua,yellow3,Mohoua ochrocephala,Mohua
41,Little Spotted Kiwi,liskiw1,Apteryx owenii,Spotted Kiwi
42,Indian Myna,commyn,Acridotheres tristis,Myna
43,Southern Black-backed Gull,kelgul,Larus dominicanus,Gull
44,Red-billed Gull,rebgul1,Chroicocephalus novaehollandiae scopulinus,Gull
45,Starling,eursta,Sturnus vulgaris,Starling
46,Kereru,nezpig2,Hemiphaga novaeseelandiae,Kereru
47,Oystercatcher,oyster1,Haematopus sp ,Oystercatcher
48,Paradise Shelduck,parshe1,Tadorna variegata,Shelduck
49,Canada Goose,cangoo,Branta canadensis,Goose
50,New Zealand Falcon,nezfal1,Falco novaeseelandiae,Falcon
51,Goldfinch,eurgol,Carduelis carduelis,Finch
52,Spur-winged Plover,maslap1,Vanellus miles,Plover
53,Australian Magpie,ausmag2,Gymnorhina tibicen,Magpie
54,New Zealand Pipit,auspip3,Anthus novaeseelandiae,Pipit
55,Greenfinch,eurgre1,Chloris chloris,Finch
56,North Island Brown Kiwi,nibkiw1,Apteryx mantelli,Brown Kiwi
57,Shining Cuckoo,shbcuc1,Chrysococcyx lucidus,Cuckoo
58,Pukeko,purswa6,Porphyrio melanotus,Pukeko
59,Dunnock,dunnoc1,Prunella modularis,Dunnock
60,Yellowhammer,yellow2,Emberiza citrinella,Yellowhammer
61,New Zealand Kingfisher,sackin1,Todiramphus sanctus ,Kingfisher
62,Whitehead,whiteh1,Mohoua albicilla,Whitehead
63,Brown Creeper,pipipi1,Mohoua novaeseelandiae,Creeper
64,Great Spotted Kiwi,grskiw1,Apteryx haastii,Spotted Kiwi
65,Southern Brown Kiwi,sobkiw2,Apteryx australis,Brown Kiwi
66,Redpoll,comred,Acanthis flammea,Redpoll
67,North Island Robin,nezrob2,Petroica longipes,Robin
68,South Island Robin,nezrob3,Petroica australis,Robin
69,Song Thrush,sonthr1,Turdus philomelos,Thrush
70,Skylark,skylar,Alauda arvensis,Skylark
71,Parakeet,parake,Psittaciformes sp.,Parakeet
72,Weka,weka1,Gallirallus australis,Weka
73,Kea,kea1,Nestor notabilis,Kea
74,Tree Weta,weta,Hemideina sp.,Weta
75,Long-tailed Cuckoo,lotkoe1,Urodynamis taitensis,Cuckoo
76,Rifleman,riflem1,Acanthisitta chloris ,Rifleman
77,Fantail,nezfan1,Rhipidura fuliginosa ,Fantail
78,Chaffinch,comcha,Fringilla coelebs,Finch
79,New Zealand Kaka,nezkak1,Nestor meridionalis ,Kaka
80,Tui,tui1,Prosthemadera novaeseelandiae,Tui
81,Blackbird,eurbla,Turdus merula ,Blackbird
82,Grey Warbler,gryger1,Gerygone igata,Warbler
83,Tomtit,tomtit1,Petroica macrocephala,Tomtit
84,Silvereye,silver3,Zosterops lateralis,Silvereye
85,Bellbird,nezbel1,Anthornis melanura,Bellbird
86,Morepork,morepo2,Ninox novaeseelandiae,Morepork
